MOBILITY;YEAR;GENDER;score_mean;score_se;score
mobile;2000;both;6.33415808376865;0.195850717356023;degree
mobile;2001;both;8.7296564757431;0.280105418602119;degree
mobile;2002;both;10.9648444524489;0.302252144789894;degree
mobile;2003;both;13.7438011161415;0.354705282068257;degree
mobile;2004;both;16.955872499461;0.433346745642527;degree
mobile;2005;both;18.5643491456043;0.427982043360735;degree
mobile;2006;both;20.7832977745367;0.493156035775478;degree
mobile;2007;both;23.0702564072631;0.563913995277444;degree
mobile;2008;both;27.9489487706262;0.816586587898386;degree
mobile;2009;both;30.0914426300787;0.847412975471666;degree
mobile;2010;both;34.029493510285;1.02929678073014;degree
mobile;2011;both;36.6411168443947;1.087748914808;degree
mobile;2012;both;41.5169644437816;1.30713432637319;degree
mobile;2013;both;42.6813175092885;1.30835154851213;degree
mobile;2014;both;46.8815943551085;1.43038419991751;degree
mobile;2015;both;50.7964708879095;1.58795563663176;degree
non-mobile;2000;both;5.32402773950888;0.109082743063579;degree
non-mobile;2001;both;6.71906242864926;0.129329172100444;degree
non-mobile;2002;both;8.22217027963606;0.134033524257899;degree
non-mobile;2003;both;10.0337184827349;0.152021561854385;degree
non-mobile;2004;both;12.3703694842327;0.2165833019523;degree
non-mobile;2005;both;12.9401391786317;0.198725623757903;degree
non-mobile;2006;both;13.9924352843339;0.19761645606701;degree
non-mobile;2007;both;15.4331588636024;0.225606028684299;degree
non-mobile;2008;both;17.1986249669406;0.305526927880077;degree
non-mobile;2009;both;17.7055809959569;0.27903239912857;degree
non-mobile;2010;both;18.7520266800322;0.299117100157576;degree
non-mobile;2011;both;19.905814360401;0.310726417549696;degree
non-mobile;2012;both;21.830859429696;0.398076883763079;degree
non-mobile;2013;both;22.4375833956042;0.382011651406188;degree
non-mobile;2014;both;23.5426330835044;0.414941432952978;degree
non-mobile;2015;both;25.3438185568106;0.49654797714781;degree
mobile;2000;male;6.69996304029484;0.271198614525664;degree
mobile;2001;male;9.34624624466819;0.390421736567739;degree
mobile;2002;male;11.6553598508292;0.419003655396052;degree
mobile;2003;male;14.4128238574141;0.47118480361369;degree
mobile;2004;male;17.7263502777787;0.576656269889415;degree
mobile;2005;male;19.3067235589735;0.560945737386839;degree
mobile;2006;male;21.4257483409011;0.614197497960951;degree
mobile;2007;male;23.7725112408872;0.703684588513343;degree
mobile;2008;male;29.1255490522322;1.0217397321949;degree
mobile;2009;male;31.4478372568872;1.07017979317656;degree
mobile;2010;male;35.8031126291267;1.29148412699488;degree
mobile;2011;male;38.5170469243573;1.38749847832649;degree
mobile;2012;male;44.0600654102801;1.69428316016621;degree
mobile;2013;male;45.4485643692996;1.69829044619198;degree
mobile;2014;male;50.1291811020937;1.87196638379574;degree
mobile;2015;male;54.4833858319752;2.0814939232563;degree
non-mobile;2000;male;5.40662602990934;0.156060869499268;degree
non-mobile;2001;male;6.8260165646443;0.187471230238537;degree
non-mobile;2002;male;8.32250469673359;0.192797884905507;degree
non-mobile;2003;male;10.1377769624859;0.214064046012874;degree
non-mobile;2004;male;12.6536149828195;0.311614002476259;degree
non-mobile;2005;male;13.2030201651138;0.289064725998907;degree
non-mobile;2006;male;14.2458426054349;0.284660060823765;degree
non-mobile;2007;male;15.520145753722;0.307190277129903;degree
